DateTime,Station,Energy Production (kWh),Energy Production (W),Water Flow (m³/s)
2022-12-25,Amberd 3,12184.76,43865136000.0,16472.542124269763
2022-12-26,Amberd 3,10497.9,37792440000.0,14192.08092456245
2022-12-27,Amberd 3,11064.9,39833640000.0,14958.606599623834
2022-12-28,Amberd 3,12084.1,43502760000.0,16336.46015874652
2022-12-29,Amberd 3,12830.3,46189080000.0,17345.24580024706
2022-12-30,Amberd 3,11328.8,40783680000.0,15315.372253325244
2022-12-31,Amberd 3,12677.7,45639720000.0,17138.946297576218
2023-01-01,Amberd 3,12295.5,44263800000.0,16622.25121290521
2023-01-02,Amberd 3,12546.8,45168480000.0,16961.982962716367
2023-01-03,Amberd 3,13401.5,48245400000.0,18117.44944327186
2023-01-04,Amberd 3,12608.4,45390240000.0,17045.259826179827
2023-01-05,Amberd 3,12055.26,43398936000.0,16297.47144539772
2023-01-06,Amberd 3,12376.0,44553600000.0,16731.078932204047
2023-01-07,Amberd 3,12886.3,46390680000.0,17420.952039759293
2023-01-08,Amberd 3,12475.4,44911440000.0,16865.457507338266
2023-01-09,Amberd 3,12802.16,46087776000.0,17307.20341489216
2023-01-10,Amberd 3,12479.6,44926560000.0,16871.135475301686
2023-01-11,Amberd 3,12428.36,44742096000.0,16801.86426614799
2023-01-12,Amberd 3,12233.9,44042040000.0,16538.974349441753
2023-01-13,Amberd 3,12350.8,44462880000.0,16697.01112442354
2023-01-14,Amberd 3,12329.1,44384760000.0,16667.67495661255
2023-01-15,Amberd 3,12455.8,44840880000.0,16838.960323508985
2023-01-16,Amberd 3,12234.46,44044056000.0,16539.731411836874
2023-01-17,Amberd 3,12291.58,44249688000.0,16616.951776139354
2023-01-18,Amberd 3,12454.26,44835336000.0,16836.878401922397
2023-01-19,Amberd 3,12296.06,44265816000.0,16623.008275300333
2023-01-20,Amberd 3,12470.22,44892792000.0,16858.454680183386
2023-01-21,Amberd 3,12226.48,44015328000.0,16528.94327270638
2023-01-22,Amberd 3,12169.64,43810704000.0,16452.10143960146
2023-01-23,Amberd 3,11934.44,42963984000.0,16134.135233650071
2023-01-24,Amberd 3,11967.62,43083432000.0,16178.991180561072
2023-01-25,Amberd 3,11818.8,42547680000.0,15977.801849057305
2023-01-26,Amberd 3,11660.6,41978160000.0,15763.93172243524
2023-01-27,Amberd 3,11579.4,41685840000.0,15654.157675142498
2023-01-28,Amberd 3,11773.3,42383880000.0,15916.290529453614
2023-01-29,Amberd 3,12062.82,43426152000.0,16307.691787731872
2023-01-30,Amberd 3,11600.12,41760432000.0,15682.168983762025
2023-01-31,Amberd 3,11870.04,42732144000.0,16047.073058211
2023-02-01,Amberd 3,12281.64,44213904000.0,16603.513918625933
2023-02-02,Amberd 3,12398.96,44636256000.0,16762.118490404064
2023-02-03,Amberd 3,11642.12,41911632000.0,15738.948663396202
2023-02-04,Amberd 3,11933.74,42961464000.0,16133.188905656169
2023-02-05,Amberd 3,13137.88,47296368000.0,17761.06232076801
2023-02-06,Amberd 3,10223.22,36803592000.0,13820.741819754934
2023-02-07,Amberd 3,8838.62,31819032000.0,11948.905047814911
